				 CPU_USAGE_TRACKER_LOGGER
Created: 		Tue May 31 22:15:49 2022

-> PRESETTING ENDED WITH SUCCESS				 Tue May 31 22:15:49 2022

-> RECIVED SIGNAL FROM PRINTER: READING DATA				 Tue May 31 22:15:49 2022

-> DATA RECIVED: SENDING RAW DATA TO ANALYSER				 Tue May 31 22:15:50 2022

-> DATA RECIVED: STARTING ANALYSING				 Tue May 31 22:15:50 2022

-> ANALYSING DONE: SEND DATA TO PRINTER				 Tue May 31 22:15:50 2022

-> RECIVED DATA: PRINTING				 Tue May 31 22:15:50 2022

-> PRINTING DONE: SEND SIGNAL TO READER				 Tue May 31 22:15:50 2022

-> RECIVED SIGNAL FROM PRINTER: READING DATA				 Tue May 31 22:15:50 2022

-> DATA RECIVED: SENDING RAW DATA TO ANALYSER				 Tue May 31 22:15:51 2022

-> DATA RECIVED: STARTING ANALYSING				 Tue May 31 22:15:51 2022

-> ANALYSING DONE: SEND DATA TO PRINTER				 Tue May 31 22:15:51 2022

-> RECIVED DATA: PRINTING				 Tue May 31 22:15:51 2022

-> PRINTING DONE: SEND SIGNAL TO READER				 Tue May 31 22:15:51 2022

-> RECIVED SIGNAL FROM PRINTER: READING DATA				 Tue May 31 22:15:51 2022

-> RECIVED SIGTERM: STOP EXECUTION				 Tue May 31 22:15:52 2022

-> DATA RECIVED: SENDING RAW DATA TO ANALYSER				 Tue May 31 22:15:52 2022

-> DATA RECIVED: STARTING ANALYSING				 Tue May 31 22:15:52 2022

-> ANALYSING DONE: SEND DATA TO PRINTER				 Tue May 31 22:15:52 2022

-> RECIVED DATA: PRINTING				 Tue May 31 22:15:52 2022

-> PRINTING DONE: SEND SIGNAL TO READER				 Tue May 31 22:15:52 2022

-> THREADS JOINED				 Tue May 31 22:15:52 2022

-> SEMAPHORES DESTROYED				 Tue May 31 22:15:52 2022

-> MUTEX DESTROYED				 Tue May 31 22:15:52 2022

-> MEMORY CLEARED				 Tue May 31 22:15:52 2022

