				 CPU_USAGE_TRACKER_LOGGER
Created: 		Wed Jun  1 13:13:13 2022

-> PRESETTING ENDED WITH SUCCESS				 Wed Jun  1 13:13:13 2022

-> RECIVED SIGNAL FROM PRINTER: READING DATA				 Wed Jun  1 13:13:13 2022

-> DATA RECIVED: SENDING RAW DATA TO ANALYSER				 Wed Jun  1 13:13:14 2022

-> DATA RECIVED: STARTING ANALYSING				 Wed Jun  1 13:13:14 2022

-> ANALYSING DONE: SEND DATA TO PRINTER				 Wed Jun  1 13:13:14 2022

-> RECIVED DATA: PRINTING				 Wed Jun  1 13:13:14 2022

-> PRINTING DONE: SEND SIGNAL TO READER				 Wed Jun  1 13:13:14 2022

-> RECIVED SIGNAL FROM PRINTER: READING DATA				 Wed Jun  1 13:13:14 2022

-> DATA RECIVED: SENDING RAW DATA TO ANALYSER				 Wed Jun  1 13:13:15 2022

-> DATA RECIVED: STARTING ANALYSING				 Wed Jun  1 13:13:15 2022

-> ANALYSING DONE: SEND DATA TO PRINTER				 Wed Jun  1 13:13:15 2022

-> RECIVED DATA: PRINTING				 Wed Jun  1 13:13:15 2022

-> PRINTING DONE: SEND SIGNAL TO READER				 Wed Jun  1 13:13:15 2022

-> RECIVED SIGNAL FROM PRINTER: READING DATA				 Wed Jun  1 13:13:15 2022

-> DATA RECIVED: SENDING RAW DATA TO ANALYSER				 Wed Jun  1 13:13:16 2022

-> DATA RECIVED: STARTING ANALYSING				 Wed Jun  1 13:13:16 2022

-> ANALYSING DONE: SEND DATA TO PRINTER				 Wed Jun  1 13:13:16 2022

-> RECIVED DATA: PRINTING				 Wed Jun  1 13:13:16 2022

-> PRINTING DONE: SEND SIGNAL TO READER				 Wed Jun  1 13:13:16 2022

-> RECIVED SIGNAL FROM PRINTER: READING DATA				 Wed Jun  1 13:13:16 2022

-> DATA RECIVED: SENDING RAW DATA TO ANALYSER				 Wed Jun  1 13:13:17 2022

-> DATA RECIVED: STARTING ANALYSING				 Wed Jun  1 13:13:17 2022

-> ANALYSING DONE: SEND DATA TO PRINTER				 Wed Jun  1 13:13:17 2022

-> RECIVED DATA: PRINTING				 Wed Jun  1 13:13:17 2022

-> PRINTING DONE: SEND SIGNAL TO READER				 Wed Jun  1 13:13:17 2022

-> RECIVED SIGNAL FROM PRINTER: READING DATA				 Wed Jun  1 13:13:17 2022

-> DATA RECIVED: SENDING RAW DATA TO ANALYSER				 Wed Jun  1 13:13:18 2022

-> DATA RECIVED: STARTING ANALYSING				 Wed Jun  1 13:13:18 2022

-> ANALYSING DONE: SEND DATA TO PRINTER				 Wed Jun  1 13:13:18 2022

-> RECIVED DATA: PRINTING				 Wed Jun  1 13:13:18 2022

-> PRINTING DONE: SEND SIGNAL TO READER				 Wed Jun  1 13:13:18 2022

-> RECIVED SIGNAL FROM PRINTER: READING DATA				 Wed Jun  1 13:13:18 2022

-> RECIVED SIGTERM: STOP EXECUTION				 Wed Jun  1 13:13:19 2022

-> DATA RECIVED: SENDING RAW DATA TO ANALYSER				 Wed Jun  1 13:13:19 2022

-> DATA RECIVED: STARTING ANALYSING				 Wed Jun  1 13:13:19 2022

-> ANALYSING DONE: SEND DATA TO PRINTER				 Wed Jun  1 13:13:19 2022

-> RECIVED DATA: PRINTING				 Wed Jun  1 13:13:19 2022

-> PRINTING DONE: SEND SIGNAL TO READER				 Wed Jun  1 13:13:19 2022

-> THREADS JOINED				 Wed Jun  1 13:13:19 2022

-> SEMAPHORES DESTROYED				 Wed Jun  1 13:13:19 2022

-> MUTEX DESTROYED				 Wed Jun  1 13:13:19 2022

-> MEMORY CLEARED				 Wed Jun  1 13:13:19 2022

